,unique_id,radius,pre_buf_r,pre_buf_x0,pre_ring_r,pre_ring_x0,post_buf_r,post_buf_x0,post_ring_r,post_ring_x0,total_ring_r,total_ring_x0,buff_diff_growth,ring_diff_growth,ring_buff_diff
92,COL4,10000,0.07036492541,1.31E-55,0.04295262999,3.31E-33,0.008215355685,0.0009971010581,0.00252290424,67.3094897,0.008319031854,0.0006236193391,-0.06214956972,-0.04042972575,-0.02171984397
93,COL5,10000,0.003026558028,17.36664708,0.03376790327,1.50E-25,0.01313238942,4.64E-08,0.0110770638,2.93E-06,0.01397539309,9.29E-09,0.0101058314,-0.02269083947,0.03279667087
95,COL7,10000,-0.0419344473,1.43E+41,0.07649338805,1.50E-60,0.01014036996,2.07E-05,0.01125160904,1.74E-06,0.01082941869,4.03E-06,0.05207481726,-0.06524177901,0.1173165963
96,COL8,10000,0.04530603429,1.40E-35,0.03707388506,9.11E-29,0.02767040316,8.92E-21,0.02248985052,1.92E-16,0.02899001757,5.66E-22,-0.01763563113,-0.01458403454,-0.003051596589
97,COL9,10000,0.03263862238,1.28E-24,0.01971256621,7.98E-14,0.02115010394,7.08E-15,0.01137467881,1.08E-06,0.01367922236,1.13E-08,-0.01148851843,-0.008337887401,-0.003150631034
98,CRI1,10000,0.01470981698,2.54E-09,0.01338079393,2.82E-08,0.01959920786,1.60E-13,0.01767784184,5.64E-12,0.01353130157,2.09E-08,0.004889390884,0.004297047911,0.0005923429732
99,CRI12,10000,0.006004898718,0.1102992374,0.01188688327,6.29E-07,0.004472805413,2.416213828,0.006021669697,0.07428259874,0.01033315556,1.36E-05,-0.001532093304,-0.005865213577,0.004333120272
100,CRI15,10000,0.001956820476,421.5274981,0.01896767405,5.72E-13,0.005534943611,0.3231479703,0.01454895975,3.28E-09,0.01339666772,3.25E-08,0.003578123135,-0.004418714294,0.007996837429
104,CRI5,10000,0.0129685002,7.58E-08,0.01351233574,1.71E-08,0.01837517415,1.73E-12,0.01648726046,4.81E-11,0.0147540959,1.48E-09,0.00540667395,0.002974924726,0.002431749224
105,CRI7,10000,0.01165030414,1.26E-06,0.01142831242,1.41E-06,0.02486409847,5.44E-18,0.03818799544,1.94E-29,0.0121195175,3.59E-07,0.01321379433,0.02675968302,-0.0135458887
106,CRI9,10000,0.009826414009,6.59E-05,0.02308446983,1.94E-16,0.002400255239,166.6581963,0.008597835172,0.0004687658871,0.0115534163,1.31E-06,-0.00742615877,-0.01448663466,0.007060475887
110,DOM10,10000,0.05621445979,2.99E-44,0.2795823666,1.81E-210,0.01480617935,1.46E-09,0.01624460852,5.70E-11,0.01920075427,1.66E-13,-0.04140828044,-0.2633377581,0.2219294776
111,DOM11,10000,-0.01182260991,200850949134962,-0.012961458,1.75288E+15,0.01528720403,8.55E-10,0.008594703587,0.0003766033529,0.01030222216,1.26E-05,0.02710981393,0.02155616159,0.005553652347
112,DOM13,10000,0.09505291847,8.26E-76,0.09372744643,3.74E-75,0.03144136362,8.42E-24,0.05349389495,1.25E-42,0.059113749,2.84E-47,-0.06361155486,-0.04023355148,-0.02337800338
114,DOM20,10000,0.09260948113,6.10E-74,0.1073526372,4.70E-86,0.02750280719,1.58E-20,0.0587512637,4.11E-47,0.06427080671,1.20E-51,-0.06510667394,-0.04860137354,-0.0165053004
115,DOM28,10000,0.09256766579,2.03E-73,0.09985205784,2.00E-79,0.009521143404,6.86E-05,0.01237571634,1.49E-07,0.0211539688,4.33E-15,-0.08304652239,-0.0874763415,0.004429819108
119,DOM60,10000,0.08820370824,5.36E-70,0.1048825545,2.38E-83,0.008612161309,0.0003947318418,0.01051057153,6.01E-06,0.01756252163,5.11E-12,-0.07959154693,-0.09437198298,0.01478043605
126,EGY4,10000,0.04388428837,5.79E-34,0.07328986971,2.65E-58,0.01868825575,1.01E-12,0.02454137724,6.23E-18,0.03486983727,1.09E-26,-0.02519603262,-0.04874849247,0.02355245985
127,EGY5,10000,0.04876136483,6.95E-38,0.06859030853,2.31E-54,0.009989507463,3.34E-05,0.02343809451,6.94E-17,0.02948035828,5.04E-22,-0.03877185737,-0.04515221401,0.006380356647
128,EGY6,10000,0.1128533821,1.90E-89,0.05670320668,1.52E-44,0.02224606167,1.02E-15,0.02153205555,3.80E-15,0.02921809072,1.08E-21,-0.09060732045,-0.03517115113,-0.05543616932
129,EGY7,10000,0.04111706491,1.50E-31,0.05183964812,1.79E-40,0.003732313977,9.957288272,0.004279189927,3.274206566,0.02398700904,3.47E-17,-0.03738475094,-0.04756045819,0.01017570726
130,EGY8,10000,0.05597014925,6.18E-44,-0.01452321804,2.37E+16,0.01525394078,6.90E-10,0.02518267454,1.78E-18,0.0260959335,2.98E-19,-0.04071620847,0.03970589258,-0.08042210105
134,ETH2,10000,0.05508314218,1.08E-43,0.02872371506,1.31E-21,0.03873062639,5.45E-30,0.0511252361,1.86E-40,0.02980676344,1.60E-22,-0.01635251579,0.02240152104,-0.03875403684
135,ETH3,10000,0.09962012228,3.60E-80,0.2530458324,1.44E-194,0.1116735245,9.98E-90,0.2012005152,7.17E-158,0.2122972857,7.03E-166,0.01205340226,-0.05184531718,0.06389871944
140,ETH8,10000,0.06899245845,3.24E-55,0.03146822062,5.74E-24,0.05976625026,1.23E-47,0.04387415698,2.05E-34,0.03322891838,1.90E-25,-0.009226208194,0.01240593636,-0.02163214455
142,FJI1,10000,0.08457378748,1.75E-67,0.1094750269,1.15E-87,0.01092739024,1.60E-06,0.0263152143,3.14E-20,0.02377769874,4.57E-18,-0.07364639724,-0.08315981258,0.009513415338
143,GHA1,10000,0.02277044795,2.57E-16,0.0654182579,3.68E-52,0.04750718508,4.06E-37,0.07239466341,6.47E-58,0.06018148405,6.57E-48,0.02473673713,0.006976405502,0.01776033163
144,GMB1,10000,0.07685183369,6.24E-62,0.03513611438,1.68E-27,0.05417477809,3.06E-43,0.06184881347,1.36E-49,0.06085979719,8.67E-49,-0.0226770556,0.02671269909,-0.04938975469
147,GUY1,10000,0.124194002,5.68E-99,0.1094479059,1.17E-87,0.04609275375,1.45E-36,0.04577780321,1.87E-36,0.04816458233,1.92E-38,-0.07810124821,-0.06367010269,-0.01443114553
148,GUY2,10000,0.06040552426,8.05E-48,0.1460358026,8.81E-116,0.029047334,8.24E-22,0.04421257955,4.31E-35,0.05240349337,6.55E-42,-0.03135819026,-0.101823223,0.07046503278
150,HND1,10000,0.1602348037,1.16E-126,0.1265536803,3.11E-101,0.03217275576,7.84E-25,0.06306640543,7.76E-51,0.07920923968,5.57E-64,-0.1280620479,-0.06348727489,-0.06457477303
152,HND13,10000,0.1159518887,2.67E-92,0.1789285718,4.45E-140,0.02765605812,8.89E-21,0.03529700034,1.99E-27,0.04689895949,3.73E-37,-0.08829583055,-0.1436315714,0.05533574086
153,HND16,10000,0.06971106799,2.90E-55,0.03810775437,2.35E-29,0.01607001102,1.41E-10,0.01436994073,2.76E-09,0.01682711767,2.14E-11,-0.05364105698,-0.02373781364,-0.02990324334
155,HND3,10000,0.06676131199,6.89E-53,0.03474948023,1.51E-26,0.01554851748,3.89E-10,0.01350241479,1.53E-08,0.01638787464,5.08E-11,-0.05121279451,-0.02124706544,-0.02996572907
157,HND7,10000,0.4969879518,0,-0.08306294614,1.61E+78,0.0529612281,2.85E-42,0.03534787109,1.54E-27,0.03631717714,2.35E-28,-0.4440267237,0.1184108172,-0.5624375409
165,IDN17,10000,0.517154684,0,0.3284495953,5.34E-243,0.05784204117,7.66E-46,0.03026771016,1.00E-22,0.04388905569,3.44E-34,-0.4593126428,-0.2981818852,-0.1611307576
166,IDN18,10000,0.03799508172,5.31E-29,0.04414424686,2.44E-34,0.006471475967,0.04516393091,0.04063353733,2.14E-31,0.04400087294,3.21E-34,-0.03152360575,-0.003510709534,-0.02801289622
167,IDN2,10000,0.03450594822,3.55E-26,0.03481544089,1.74E-26,0.03673515279,4.39E-28,0.03594645191,1.73E-27,0.0286776939,2.48E-21,0.002229204566,0.001131011023,0.001098193543
168,IDN20,10000,0.07711985567,1.65E-61,0.05364276531,2.90E-42,0.06182592239,4.35E-49,0.04431451835,1.41E-34,0.04205633454,1.14E-32,-0.01529393328,-0.009328246957,-0.005965686324
169,IDN21,10000,0.3610732955,9.20E-264,0.2708166054,1.61E-204,0.03327348149,4.22E-25,0.03781494684,4.67E-29,0.04488218566,5.57E-35,-0.3277998141,-0.2330016586,-0.09479815546
171,IDN25,10000,0.05627976747,2.06E-44,0.061741881,4.39E-49,0.03091124375,3.65E-23,0.06047185186,5.20E-48,0.06411444654,5.06E-51,-0.02536852372,-0.001270029141,-0.02409849458
172,IDN26,10000,0.002011818691,54.79051013,0.001949377627,48.39421453,0.05032001349,1.75E-39,0.05603543817,2.03E-44,0.05603543817,2.03E-44,0.0483081948,0.05408606054,-0.005777865743
184,IDN44,10000,0.05245697555,4.58E-42,0.03190367354,6.76E-25,0.1125472598,1.62E-90,0.1097563983,2.11E-88,0.0451843623,5.29E-36,0.06009028423,0.07785272472,-0.01776244049
188,IND1,10000,0.06601444915,5.20E-53,0.0588270242,2.84E-47,0.06028603973,2.14E-48,0.0685840712,2.32E-55,0.05022868464,3.33E-40,-0.005728409421,0.009757047,-0.01548545642
193,IND192,10000,0.02188716707,1.44E-15,0.01112328618,1.72E-06,0.02581907446,7.04E-19,0.03512422555,8.07E-27,0.03399018312,7.31E-26,0.003931907386,0.02400093937,-0.02006903199
194,IND196,10000,0.02324487366,5.80E-17,0.02810341459,2.25E-21,0.0660908727,9.76E-53,0.0649486456,3.96E-52,0.0338745761,3.02E-26,0.04284599904,0.03684523102,0.006000768023
195,IND198,10000,0.08273271947,4.54E-66,0.0814969103,3.00E-65,0.03218799162,1.83E-24,0.03776671738,2.43E-29,0.05506359001,8.89E-44,-0.05054472784,-0.04373019292,-0.006814534924
196,IND202,10000,0.04686573345,4.26E-37,0.02559273769,4.23E-19,0.09310032148,7.71E-75,0.07060007583,1.26E-56,0.03087781421,1.43E-23,0.04623458803,0.04500733814,0.001227249889
200,JDN1,10000,0.03764337627,8.84E-29,0.05339859877,3.68E-42,0.02121847234,6.75E-15,0.0302987753,7.34E-23,0.04043963788,2.05E-31,-0.01642490393,-0.02309982347,0.00667491954
202,JDN3,10000,0.09460093528,3.58E-75,0.04849925329,7.51E-38,0.04017227501,5.67E-31,0.03103485146,2.53E-23,0.02950317571,5.03E-22,-0.05442866027,-0.01746440184,-0.03696425843
203,JDN4,10000,0.156980744,4.30E-124,0.07204661317,8.92E-58,0.06790388204,1.23E-54,0.06963142198,6.29E-56,0.05648368098,4.03E-45,-0.08907686199,-0.002415191185,-0.0866616708
204,KEN1,10000,0.4608985025,0,3.272727273,0,0.0735489801,5.11E-59,0.1106638131,4.88E-89,0.11977795,3.59E-96,-0.3873495224,-3.16206346,2.774713937
208,KOR101,10000,0.06781354103,9.96E-54,0.03611260203,1.44E-27,0.01642002908,8.52E-11,0.01337724214,3.10E-08,0.02630995876,2.57E-19,-0.05139351195,-0.02273535988,-0.02865815207
211,KOR104,10000,0.02550723749,1.72E-18,0.0280430153,1.05E-20,0.002033631552,253.3673246,0.002463712536,90.49459198,0.01737908141,1.19E-11,-0.02347360594,-0.02557930276,0.002105696824
212,KOR105,10000,0.002132578517,69.65629907,0.002135003386,69.99285678,0.02524580921,1.92E-18,0.02330502016,7.93E-17,0.02330502016,7.93E-17,0.02311323069,0.02117001677,0.001943213924
213,KOR106,10000,0.06478421948,3.11E-51,0.03821969984,2.39E-29,0.0005730291201,3686.112847,-0.004410264809,67840203.03,0.009491692582,5.28E-05,-0.06421119036,-0.04262996465,-0.02158122571
215,KOR109,10000,0.01482930116,2.14E-09,0.02284591517,2.43E-16,0.007350228009,0.006285946345,0.006160747045,0.05631849533,0.01987022619,8.24E-14,-0.007479073154,-0.01668516813,0.009206094974
216,KOR11,10000,0.0819051267,4.56E-65,0.04007173241,8.98E-31,0.002101066088,244.2462855,0.01145424351,1.78E-06,0.02599644491,6.02E-19,-0.07980406062,-0.0286174889,-0.05118657171
217,KOR110,10000,0.04038047665,3.59E-31,0.01237627977,2.41E-07,-0.002166998443,1045556.922,-0.006450785687,6054506540,0.009222619538,0.000123507202,-0.0425474751,-0.01882706546,-0.02372040964
218,KOR12,10000,0.01067282517,9.73E-06,0.0151504215,1.08E-09,0.006364465806,0.04861111435,0.0007377437598,3055.335029,0.007885021104,0.001854172904,-0.004308359363,-0.01441267774,0.01010431837
219,KOR14,10000,0.009729771573,6.16E-05,0.02140482632,5.02E-15,-0.0008074652035,88900.61861,0.01495392343,1.51E-09,0.01770153553,7.16E-12,-0.01053723678,-0.006450902896,-0.004086333881
220,KOR16,10000,0.0925645783,2.42E-73,0.1166658561,2.18E-92,0.004738987225,1.212422037,0.006172754498,0.05546419919,0.02046739415,2.68E-14,-0.08782559108,-0.1104931016,0.02266751057
221,KOR17,10000,0.002269291697,91.4056891,0.002187086666,77.62731478,0.01393233586,1.28E-08,0.02076751911,1.52E-14,0.02076751911,1.52E-14,0.01166304416,0.01858043245,-0.006917388286
222,KOR179,10000,0.1319759217,2.34E-104,0.1433072915,7.87E-113,0.01060410483,4.95E-06,0.003087258371,20.39594014,0.01175044887,6.35E-07,-0.1213718169,-0.1402200331,0.01884821628
223,KOR2,10000,0.09865238424,2.34E-78,0.1035637407,2.34E-82,0.01430144522,4.68E-09,0.01076089442,3.82E-06,0.01484849026,1.15E-09,-0.08435093902,-0.09280284632,0.008451907294
